1,pizza,REGINA,"Tomate, mozzarella fior di latte, jambon cuit aux herbes, champignons sautés et persil",Regina.png
2,pizza,SALMONE,"Crème, mozzarella, saumon fumé, pousses d’épinard, sauce balsamique blanc au citron et au thym",Salmone.png
3,pizza,CARCIOFI,"Pesto de roquette, mozzarella, artichauts à la romaine, roquette, ricotta (recette végétarienne)",Carciofi.png
4,pizza,DEL MARE,"Sauce tomate, mozzarella, mélange de fruits de mer (moules, palourdes, crevettes) et sauce crustacés, pousses d’épinard",Del_mare.png
5,pizza,BURRATA E MORTADELLA,"Huile d’olive, fromage italien râpé. Ajoutés froids après cuisson : mortadelle de Bologne, burrata des Pouilles, pistaches",Burrata_mortadella.png
6,pizza,DIAVOLA,"Sauce tomate, fromage italien râpé, poivrons rouges et jaunes, ‘nduja (saucisse pimentée calabraise), oignons rouges, mozzarella di Bufala Campana",Diavola.png
7,pizza,VESUVIO,"Sauce tomate, mozzarella, merguez de bœuf et mouton, spianata piccante, poivrons jaunes et rouges, œuf plein air",Vesuvio.png
8,pizza,5 FORMAGGI,"Mozzarella, gorgonzola, taleggio de Lombardie, fromage de chèvre, scamorza fumée (recette végétarienne)",5_fromaggi.png
9,pizza,MARGARITA,"Sauce tomate, mozzarella.",Margarita.png
10,salade,CAESAR ,"Croustillant de filet de poulet, pancetta, sauce Caesar, croûtons de pain focaccia, copeaux de fromage italien, sucrine",cesar.png
11,salade,CINQUE TERRE,"Mélange de pois, fèves de soja, asperges et menthe, tomates cerise, oignons rouges, olives taggiasche, thon, pommes de terre grenaille, sucrine",Cinque_terre.png
12,salade,BOWL PRIMAVERA,"Mélange de pois, fèves de soja, asperges et menthe, mozzarella di Bufala Campana, rigatoni, fraises, tomates cerise, pains focaccia, salade tendre, crème de vinaigre balsamique de Modène (recette végétarienne)",Bowl_primavera.png
13,dessert,TIRAMISU ,"Tiramisu italien classique : mascarpone, café et marsala (alcool italien)",tiramisu.png
14,dessert,CAPRESE NAPOLETANA,"Gateaux napoletain au chocolat et amandes aromatisé avec Amaretto",Caprese.jpg
15,dessert,TARTE AU CITRON DE SICILE MERINGUEE,,Tarte_au_citron.png
16,dessert,MOELLEUX AU CHOCOLAT,"Avec sa crème glacée vanille de Madagascar",Moelleux_au_chocolat.png
17,dessert,PANNA COTTA,"Au choix : coulis de fruits rouges, lait caramélisé ou sauce au chocolat",Panna_cotta.png
18,boisson,Bière LAGUNITAS IPA 35 cl,"Bière IPA",Lagunitas.png
19,boisson,Bière MORETTI 25 cl,"Bière blonde italienne",Lagunitas.png
20,boisson,Jus Pampryl Orange 25 cl,"Jus d'orange",Jus_orange.png
21,boisson,Nectar Pampryl Ananas 25 cl,"Nectar d'ananas",Nectar.png
22,boisson,Orangina,,Orangina.png
23,boisson,Perrier,,Perrier.png
24,boisson,Pepsi,,Pepsi.png
25,pizza,PIZZA COMPOSEE,,Pizza_composee.png